"
                        Studio
                            –
2 Bedrooms                    ",1 Bedroom,2 Bedrooms,3 Bedrooms,4 Bedrooms,4+ Bedrooms,Bedroom_Info,City_Rent,Property_Name_Rent,State_Rent,Studio,Type,Zip_code
,"$1,550 ","$1,845 ","$2,190 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,550 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,845 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,190 '}]",Norwalk,The Courtyards & Tierra Palms,CA,,Apartment,90650
,"$1,840 ","$2,375 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,840 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,375 '}]",Irvine,Cypress Village Apartment Homes,CA,,Apartment,92620
,"$2,300 ","$3,275 ",,,,"[{'bedroom_type': 'Studio', 'price': '$2,236 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,300 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,275 '}]",Pasadena,Bell Pasadena,CA,"$2,236 ",Apartment,91107
,"$1,825 ","$1,994 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,825 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,994 '}]",San Diego,eaves Rancho Penasquitos,CA,,Apartment,92129
,"$2,210 ","$2,805 ",,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$2,210 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,805 '}]",Monrovia,Moda at Monrovia Station,CA,,Apartment,91016
,"$1,356 ","$1,646 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,356 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,646 '}]",Ontario,Terracina,CA,,Apartment,91761
,,,,,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Riverside,River Oaks Condominiums,CA,,Apartment,92505
,"$1,687 ","$2,052 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,687 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,052 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Cypress,Casa Grande Apartment Homes,CA,,Apartment,90630
,"$2,651 ","$3,160 ",,,,"[{'bedroom_type': 'Studio', 'price': '$2,428 '}, {'bedroom_type': '1 Bedroom', 'price': '$2,651 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,160 '}]",Foster City,eaves Foster City,CA,"$2,428 ",Apartment,94404
,"$1,950 ","$2,575 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,950 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,575 '}]",San Jose,Valley West Apartments,CA,,Apartment,95122
,"$1,570 ","$1,805 ","$2,130 ",,,"[{'bedroom_type': 'Studio', 'price': '$1,385 '}, {'bedroom_type': '1 Bedroom', 'price': '$1,570 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,805 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,130 '}]",Lakewood,Lakewood Manor,CA,"$1,385 ",Apartment,90712
,"$1,795 ","$2,310 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,795 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,310 '}]",Irvine,Woodbury Apartment Homes,CA,,Apartment,92620
,"$1,020 ","$1,150 ","$1,500 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,020 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,150 '}, {'bedroom_type': '3 Bedrooms', 'price': '$1,500 '}]",Lakeside,Ashwood Apartments,CA,,Apartment,92040
,,"$2,250 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$2,250 '}]",San Leandro,Summerhill Terrace Apartments,CA,,Apartment,94578
,,"$1,910 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': '$1,910 '}]",Upland,Rancho Monte Vista Luxury Apartment Homes,CA,,Apartment,91786
,"$2,645 ","$3,477 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,645 '}, {'bedroom_type': '2 Bedrooms', 'price': '$3,477 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Santa Clara,River Terrace,CA,,Apartment,95054
,,,,,,"[{'bedroom_type': '2 Bedrooms', 'price': ''}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Canoga Park,International Village Apartments,CA,,Apartment,91304
,"$3,917 ",,,,,"[{'bedroom_type': '1 Bedroom', 'price': '$3,917 '}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Santa Monica,San Vicente Tower,CA,,Apartment,90402
,"$2,120 ","$2,425 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,120 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,425 '}]",San Ramon,Country Brook Rental Condominiums,CA,,Apartment,94583
,"$2,207 ","$2,484 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,207 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,484 '}, {'bedroom_type': '3 Bedrooms', 'price': ''}]",Santa Rosa,Annadel,CA,,Apartment,95401
,"$1,868 ","$2,158 ","$2,595 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,868 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,158 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,595 '}]",Hayward,Crestview Terrace,CA,,Apartment,94544
,"$1,735 ","$1,795 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,735 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,795 '}]",San Diego,Loma Portal Apartments,CA,,Apartment,92110
,"$2,253 ","$2,751 ","$3,711 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$2,253 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,751 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,711 '}]",Long Beach,Bixby Hill Apartments,CA,,Apartment,90815
,"$1,220 ","$1,370 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,220 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,370 '}]",Palm Desert,The Regent Palm Desert Apartment Homes,CA,,Apartment,92260
,"$1,975 ","$2,385 ","$3,395 ",,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,975 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,385 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,395 '}]",San Diego,The Village Mission Valley,CA,,Apartment,92124
,,,,,,"[{'bedroom_type': '1 Bedroom', 'price': ''}, {'bedroom_type': '2 Bedrooms', 'price': ''}]",Sacramento,Quail Pointe Apartments,CA,,Apartment,95827
,,"$1,927 ","$2,395 ",,,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,927 '}, {'bedroom_type': '3 Bedrooms', 'price': '$2,395 '}]",Diamond Bar,The Hills of Diamond Bar,CA,,Apartment,91765
,"$1,495 ","$1,795 ",,,,"[{'bedroom_type': '1 Bedroom', 'price': '$1,495 '}, {'bedroom_type': '2 Bedrooms', 'price': '$1,795 '}]",Chula Vista,Windsong Apartments ~,CA,,Apartment,91910
,,"$1,370 ",,,,"[{'bedroom_type': '2 Bedrooms', 'price': '$1,370 '}]",Sacramento,Riverstone Apartments,CA,,Apartment,95831
,"$1,867 ","$2,245 ","$3,190 ",,,"[{'bedroom_type': 'Studio', 'price': ''}, {'bedroom_type': '1 Bedroom', 'price': '$1,867 '}, {'bedroom_type': '2 Bedrooms', 'price': '$2,245 '}, {'bedroom_type': '3 Bedrooms', 'price': '$3,190 '}]",Costa Mesa,AVA Newport,CA,,Apartment,92627
